,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Arraial do Cabo,-22.97,-42.03,73.4,78,0,17.22,BR,1595192182
1,Mar del Plata,-38.0,-57.56,55.4,93,75,13.87,AR,1595192184
2,Trairi,-3.28,-39.27,77.77,74,23,11.07,BR,1595192186
3,George Town,5.41,100.34,80.6,100,40,4.7,MY,1595192098
4,Avarua,-21.21,-159.78,75.2,83,83,16.11,CK,1595192189
5,Palu,-0.89,119.87,75.24,81,50,2.86,ID,1595192191
6,Yellowknife,62.46,-114.35,70.0,68,75,12.75,CA,1595192098
7,Chokurdakh,70.63,147.92,69.03,48,65,15.9,RU,1595192195
8,Saint Paul Harbor,57.79,-152.41,57.2,82,90,11.41,US,1595192196
9,Sinnamary,5.38,-52.95,81.82,76,86,9.93,GF,1595192198
10,Rikitea,-23.12,-134.97,68.38,73,38,16.2,PF,1595192200
11,Dikson,73.51,80.55,40.77,98,100,14.41,RU,1595192202
12,Ihosy,-22.4,46.12,52.5,90,11,9.89,MG,1595192203
13,Hilo,19.73,-155.09,84.2,62,1,6.93,US,1595192205
14,Aloleng,16.13,119.78,81.66,80,41,6.31,PH,1595192207
15,Cidreira,-30.18,-50.21,66.87,76,69,10.49,BR,1595192209
16,Cape Town,-33.93,18.42,61.0,93,75,11.41,ZA,1595192210
17,San Buenaventura,27.08,-101.53,94.03,32,44,6.98,MX,1595192212
18,Ponta do Sol,32.67,-17.1,73.4,60,20,12.75,PT,1595192214
19,Talnakh,69.49,88.4,48.2,81,93,17.9,RU,1595192215
20,Bluff,-46.6,168.33,39.0,83,89,3.0,NZ,1595192217
21,New Norfolk,-42.78,147.06,44.01,88,67,1.99,AU,1595192219
22,Punta Arenas,-53.15,-70.92,35.6,69,75,9.17,CL,1595192075
23,Hambantota,6.12,81.12,79.79,82,81,6.89,LK,1595192222
24,Bubaque,11.28,-15.83,80.19,81,100,16.06,GW,1595192224
25,Sungai Penuh,-2.08,101.38,64.72,94,75,3.56,ID,1595192226
26,Praia,14.92,-23.51,80.6,74,40,6.93,CV,1595192228
27,Camacha,33.08,-16.33,71.6,73,20,12.75,PT,1595192229
28,Nago,26.59,127.98,80.6,94,1,7.92,JP,1595192231
29,Hermanus,-34.42,19.23,50.0,94,1,8.12,ZA,1595192233
30,Mataura,-46.19,168.86,39.0,83,100,3.0,NZ,1595191635
31,Thompson,55.74,-97.86,77.0,36,75,11.41,CA,1595191973
32,Flinders,-34.58,150.86,53.01,54,0,7.0,AU,1595192238
33,Hamilton,39.18,-84.53,95.0,52,75,12.75,US,1595191963
34,Geraldton,-28.77,114.6,48.2,81,0,5.82,AU,1595192242
35,Grindavik,63.84,-22.43,50.0,76,75,8.05,IS,1595192243
36,Atuona,-9.8,-139.03,79.74,71,26,14.74,PF,1595192245
37,Ushuaia,-54.8,-68.3,33.8,100,40,6.93,AR,1595192247
38,Biltine,14.53,20.92,90.5,25,69,6.06,TD,1595192248
39,Hobart,-42.88,147.33,46.4,65,40,4.7,AU,1595192250
40,Show Low,34.25,-110.03,91.4,14,20,10.29,US,1595191981
41,Bezhetsk,57.79,36.7,58.6,85,92,2.73,RU,1595192254
42,Forsytheganj,52.63,29.73,59.04,85,7,3.69,BY,1595192255
43,Afyonkarahisar,38.75,30.67,71.19,68,0,6.8,TR,1595192257
44,Port Alfred,-33.59,26.89,60.57,81,0,10.4,ZA,1595191725
45,Igrim,63.19,64.42,51.28,75,0,8.59,RU,1595192261
46,Gweru,-19.45,29.82,49.55,62,0,11.32,ZW,1595192262
47,Taywarah,33.35,64.42,54.34,41,0,5.48,AF,1595192264
48,Bredasdorp,-34.53,20.04,55.4,93,0,1.07,ZA,1595191706
49,Saint George,37.1,-113.58,106.0,8,1,4.7,US,1595192004
50,Upernavik,72.79,-56.15,49.82,54,83,5.46,GL,1595192269
51,Kavaratti,10.57,72.64,81.52,80,100,14.09,IN,1595192271
52,Hithadhoo,-0.6,73.08,83.01,78,100,16.55,MV,1595192273
53,Tuatapere,-46.13,167.68,39.0,83,93,3.0,NZ,1595192275
54,Kangaatsiaq,68.31,-53.46,49.96,63,95,10.4,GL,1595192276
55,Tsimmerbude,54.67,20.13,66.2,82,44,4.47,RU,1595192278
56,Inhambane,-23.86,35.38,65.73,85,28,9.62,MZ,1595192280
57,Kapuskasing,49.42,-82.43,77.0,69,40,19.46,CA,1595192281
58,Nizhniy Kuranakh,58.84,125.49,66.09,79,100,3.27,RU,1595192283
59,Vardø,70.37,31.11,59.0,93,75,10.29,NO,1595192285
60,Salinas,36.68,-121.66,72.0,64,1,11.41,US,1595192287
61,Yangi Marg`ilon,40.43,71.72,77.0,36,8,9.17,UZ,1595192288
62,Yulara,-25.24,130.99,53.6,76,90,9.17,AU,1595192290
63,Pisco,-13.7,-76.22,68.0,68,23,14.99,PE,1595192292
64,Vaini,-21.2,-175.2,66.2,100,90,6.93,TO,1595192293
65,Guisa,20.25,-76.54,84.2,79,75,10.29,CU,1595192295
66,Chui,-33.7,-53.46,66.7,85,94,6.62,UY,1595192297
67,Lebu,-37.62,-73.65,53.64,86,1,11.32,CL,1595192299
68,Ust-Nera,64.57,143.2,59.85,64,100,4.36,RU,1595192300
69,Haines Junction,60.75,-137.51,63.88,47,100,8.88,CA,1595192302
70,Ilulissat,69.22,-51.1,53.6,50,97,2.24,GL,1595192304
71,Birao,10.28,22.79,71.26,91,100,0.69,CF,1595192305
72,Yumen,40.28,97.2,77.56,17,93,9.33,CN,1595192307
73,Jinchang,38.5,102.17,69.91,24,100,0.85,CN,1595192309
74,Aktash,50.3,87.73,47.43,86,7,1.07,RU,1595192311
75,Butaritari,3.07,172.79,83.44,75,99,17.36,KI,1595192313
76,Xuanzhou,30.95,118.76,68.67,97,100,3.0,CN,1595192314
77,Našice,45.49,18.09,63.0,95,35,5.7,HR,1595192316
78,Asău,46.43,26.4,60.01,97,100,2.51,RO,1595192318
79,Qaanaaq,77.48,-69.36,48.02,67,99,2.04,GL,1595192320
80,Ribeira Grande,38.52,-28.7,71.6,73,75,6.93,PT,1595191972
81,Shaunavon,49.65,-108.42,70.11,49,68,6.8,CA,1595192323
82,North Bend,43.41,-124.22,81.0,72,1,24.16,US,1595192325
83,Aklavik,68.22,-135.01,48.2,70,90,3.18,CA,1595192327
84,Carnarvon,-24.87,113.63,48.2,87,0,6.93,AU,1595192328
85,Vanimo,-2.67,141.3,76.35,85,50,5.1,PG,1595192330
86,Hofn,64.25,-15.21,57.2,50,75,5.82,IS,1595191972
87,Cherskiy,68.75,161.3,68.99,49,0,8.14,RU,1595192334
88,Bethel,41.37,-73.41,95.0,41,1,9.17,US,1595192145
89,Port Elizabeth,-33.92,25.57,53.6,100,0,3.36,ZA,1595192337
90,Torbay,47.67,-52.73,73.99,43,20,4.7,CA,1595192339
91,Jamestown,42.1,-79.24,75.0,100,20,9.17,US,1595192184
92,Saskylakh,71.92,114.08,52.81,76,63,10.65,RU,1595192342
93,Sveti Nikole,41.87,21.95,71.6,53,10,8.05,MK,1595192344
94,Māngrol,21.12,70.12,83.77,81,99,14.36,IN,1595192346
95,Vallenar,-28.57,-70.76,67.42,43,100,5.06,CL,1595192348
96,San Cristobal,7.77,-72.22,96.8,30,20,5.37,VE,1595192093
97,Albany,42.6,-73.97,95.0,40,63,9.08,US,1595192147
98,Panzhihua,26.59,101.71,70.88,82,100,0.87,CN,1595192353
99,Castro,-24.79,-50.01,61.43,82,35,3.4,BR,1595192354
100,Tarakan,3.3,117.63,79.45,81,100,4.09,ID,1595192105
101,Pevek,69.7,170.31,46.69,57,0,3.91,RU,1595192179
102,Anloga,5.79,0.9,75.2,94,40,11.41,GH,1595192360
103,Hazorasp,41.32,61.07,78.8,54,17,6.93,UZ,1595192361
104,Hasaki,35.73,140.83,72.0,100,75,1.12,JP,1595192363
105,Jieshi,22.81,115.83,82.53,84,100,8.75,CN,1595192365
